calendar_id,equipment_id,component_id,event_type,window_start,failure_date,lead_window_days,midpoint,k,false_start_cutoff,false_start_decay_days
1,1,7,Failure,2025-10-14,2025-11-22,39,0.75,12,,
2,1,6,Failure,2025-01-19,2025-02-07,19,0.6,10,,
3,1,2,Failure,2026-04-14,2026-04-29,15,0.5,10,,
4,1,7,Failure,2024-10-13,2024-11-12,30,0.75,12,,
5,1,5,Failure,2024-10-09,2024-10-15,6,0.45,12,,
6,1,6,FalseStart,2025-08-17,,20,0.6,10,0.41,7
7,1,7,FalseStart,2025-12-31,,30,0.75,12,0.62,4
8,2,2,Failure,2026-03-15,2026-03-26,11,0.5,10,,
9,2,1,Failure,2025-06-08,2025-06-25,17,0.55,10,,
10,2,5,Failure,2025-12-22,2025-12-28,6,0.45,12,,
11,2,3,FalseStart,2026-05-17,,18,0.6,9,0.57,4
12,3,3,Failure,2024-10-02,2024-10-24,22,0.6,9,,
13,3,8,Failure,2025-03-01,2025-03-31,30,0.7,8,,
14,3,6,Failure,2024-09-18,2024-09-28,10,0.6,10,,
15,3,7,Failure,2025-08-23,2025-09-20,28,0.75,12,,
16,3,1,Failure,2025-08-08,2025-08-22,14,0.55,10,,
17,3,1,FalseStart,2024-07-08,,10,0.55,10,0.7,5
18,3,2,FalseStart,2025-08-18,,8,0.5,10,0.56,7
19,4,7,Failure,2025-06-18,2025-07-21,33,0.75,12,,
20,4,1,Failure,2024-07-24,2024-08-08,15,0.55,10,,
21,4,12,Failure,2024-11-23,2024-11-29,6,0.5,11,,
22,4,3,FalseStart,2025-10-27,,15,0.6,9,0.4,7
23,5,7,Failure,2025-12-12,2026-01-20,39,0.75,12,,
24,5,2,Failure,2025-09-11,2025-09-21,10,0.5,10,,
25,5,7,Failure,2025-08-17,2025-09-14,28,0.75,12,,
26,5,5,Failure,2024-07-09,2024-07-15,6,0.45,12,,
27,5,3,FalseStart,2024-07-28,,23,0.6,9,0.51,5
28,6,12,Failure,2024-08-21,2024-08-27,6,0.5,11,,
29,6,12,Failure,2025-10-04,2025-10-12,8,0.5,11,,
30,6,3,Failure,2025-06-10,2025-07-03,23,0.6,9,,
31,6,9,Failure,2024-09-22,2024-10-16,24,0.65,9,,
32,6,1,FalseStart,2025-03-13,,13,0.55,10,0.6,4
33,7,4,Failure,2024-11-16,2024-11-30,14,0.5,11,,
34,7,12,Failure,2026-02-17,2026-03-01,12,0.5,11,,
35,7,2,Failure,2025-01-12,2025-01-26,14,0.5,10,,
36,7,7,Failure,2025-02-27,2025-04-02,34,0.75,12,,
37,7,9,Failure,2025-01-19,2025-02-09,21,0.65,9,,
38,7,2,FalseStart,2025-08-09,,11,0.5,10,0.64,7
39,7,7,FalseStart,2024-10-27,,38,0.75,12,0.42,4
40,8,3,Failure,2025-08-14,2025-09-08,25,0.6,9,,
41,8,3,Failure,2025-11-23,2025-12-16,23,0.6,9,,
42,8,3,Failure,2024-09-17,2024-10-03,16,0.6,9,,
43,8,2,Failure,2026-02-01,2026-02-16,15,0.5,10,,
44,8,7,Failure,2025-04-21,2025-05-18,27,0.75,12,,
45,8,2,FalseStart,2024-09-16,,11,0.5,10,0.66,6
46,8,4,FalseStart,2025-01-04,,10,0.5,11,0.42,6
47,9,7,Failure,2024-10-11,2024-11-09,29,0.75,12,,
48,9,4,Failure,2025-06-12,2025-06-26,14,0.5,11,,
49,9,7,Failure,2026-03-05,2026-04-03,29,0.75,12,,
50,9,1,Failure,2025-11-07,2025-11-17,10,0.55,10,,
51,9,11,FalseStart,2024-07-29,,12,0.55,10,0.74,8
