work_order_id,equipment_id,customer_id,technician_id,maintenance_type,priority,source_signal_id,scheduled_date,actual_start,actual_completion,downtime_hours,sla_target_hours,labor_hours,total_cost,warranty_flag,status,root_cause,follow_up_required
1,1,1,16,Corrective,Routine,,2024-07-07,2024-07-07 12:36:03.086195,2024-07-08 01:30:03.086195,12.9,6,9.6,113676.0,True,Completed,Wear beyond tolerance,False
2,1,1,24,Corrective,Critical,,2024-10-25,2024-10-25 09:34:45.021094,2024-10-28 04:52:45.021094,67.3,6,38.7,177054.0,True,Completed,Operator-reported abnormal noise confirmed on inspection,False
3,1,1,12,Preventive,Routine,,2025-01-24,2025-01-24 08:55:55.057701,2025-01-24 19:37:55.057701,10.7,6,6.8,301044.0,False,Completed,,False
4,1,1,24,Preventive,Routine,,2025-05-12,2025-05-12 11:51:22.340133,2025-05-12 21:27:22.340133,9.6,6,5.5,8400.0,False,Completed,,False
5,1,1,8,Preventive,Routine,,2025-08-20,2025-08-20 09:25:02.201950,2025-08-20 21:01:02.201950,11.6,6,5.7,98724.0,True,Completed,,False
6,1,1,16,Preventive,Routine,,2025-12-13,2025-12-13 09:38:34.524056,2025-12-13 14:32:34.524056,4.9,6,3.5,5532.0,True,Completed,,False
7,1,1,16,Preventive,Routine,,2026-04-07,2026-04-07 13:53:07.035615,2026-04-07 20:17:07.035615,6.4,6,2.6,104208.0,False,Completed,,False
8,2,1,12,Preventive,Routine,,2017-05-17,2017-05-17 13:04:33.460687,2017-05-17 22:22:33.460687,9.3,6,5.8,46074.0,True,Completed,,False
9,2,1,20,Preventive,Routine,,2017-08-13,2017-08-13 10:31:02.936679,2017-08-13 20:49:02.936679,10.3,6,6.7,29136.0,True,Completed,,False
10,2,1,4,Preventive,Routine,,2017-11-14,2017-11-14 13:14:16.645447,2017-11-15 00:26:16.645447,11.2,6,5.8,178884.0,False,Completed,,False
11,2,1,20,Preventive,Routine,,2018-02-03,2018-02-03 12:17:50.267291,2018-02-03 23:53:50.267291,11.6,6,5.5,76458.0,False,Completed,,False
12,2,1,4,Preventive,Routine,,2018-04-24,2018-04-24 11:07:48.466635,2018-04-24 18:25:48.466635,7.3,6,5.3,1923.0,True,Completed,,False
13,2,1,24,Preventive,Routine,,2018-08-05,2018-08-05 08:20:22.955387,2018-08-05 14:32:22.955387,6.2,6,3.3,19974.0,False,Completed,,False
14,2,1,4,Preventive,Routine,,2018-11-15,2018-11-15 08:39:19.983051,2018-11-15 15:03:19.983051,6.4,6,3.5,44976.0,True,Completed,,False
15,2,1,16,Preventive,Routine,,2019-02-28,2019-02-28 11:51:11.504493,2019-02-28 21:39:11.504493,9.8,6,6.7,3372.0,False,Completed,,False
16,2,1,24,Preventive,Routine,,2019-05-28,2019-05-28 12:40:44.688490,2019-05-28 20:28:44.688490,7.8,6,5.3,187914.0,False,Completed,,False
17,2,1,16,Preventive,Routine,,2019-08-24,2019-08-24 10:53:21.890070,2019-08-24 21:17:21.890070,10.4,6,7.1,222438.0,False,Completed,,False
18,2,1,8,Preventive,Routine,,2019-11-27,2019-11-27 11:57:20.111680,2019-11-27 18:51:20.111680,6.9,6,5.0,23814.0,False,Completed,,False
19,2,1,8,Preventive,Routine,,2020-03-02,2020-03-02 08:05:23.694186,2020-03-02 12:11:23.694186,4.1,6,3.0,31263.0,False,Completed,,False
20,2,1,24,Preventive,Routine,,2020-05-26,2020-05-26 08:54:57.713146,2020-05-26 20:06:57.713146,11.2,6,7.6,6840.0,False,Completed,,False
21,2,1,12,Preventive,Routine,,2020-08-31,2020-08-31 09:11:03.203027,2020-08-31 18:41:03.203027,9.5,6,5.6,131880.0,False,Completed,,False
22,2,1,8,Preventive,Routine,,2020-12-02,2020-12-02 10:57:30.457227,2020-12-02 15:27:30.457227,4.5,6,2.5,15042.0,False,Completed,,False
23,2,1,8,Corrective,High,,2021-03-07,2021-03-07 12:24:27.125041,2021-03-08 04:12:27.125041,15.8,6,8.1,308802.0,False,Completed,Wear beyond tolerance,False
24,2,1,16,Preventive,Routine,,2021-06-15,2021-06-15 08:07:24.091031,2021-06-15 12:31:24.091031,4.4,6,2.9,10440.0,False,Completed,,False
25,2,1,12,Preventive,Routine,,2021-09-27,2021-09-27 12:18:32.776919,2021-09-27 21:18:32.776919,9.0,6,4.7,158109.0,False,Completed,,False
26,2,1,20,Preventive,Routine,,2021-12-29,2021-12-29 08:18:58.758149,2021-12-29 14:36:58.758149,6.3,6,3.3,175014.0,False,Completed,,False
27,2,1,16,Preventive,Routine,,2022-03-30,2022-03-30 12:45:06.144531,2022-03-30 19:21:06.144531,6.6,6,3.4,213792.0,False,Completed,,False
28,2,1,20,Preventive,Routine,,2022-07-11,2022-07-11 11:26:39.351623,2022-07-11 18:38:39.351623,7.2,6,3.2,3312.0,False,Completed,,False
29,2,1,24,Preventive,Routine,,2022-10-23,2022-10-23 13:27:32.159194,2022-10-23 22:21:32.159194,8.9,6,5.5,17235.0,False,Completed,,False
30,2,1,12,Preventive,Routine,,2023-01-31,2023-01-31 08:36:29.411205,2023-01-31 14:06:29.411205,5.5,6,2.3,6798.0,False,Completed,,False
31,2,1,16,Preventive,Routine,,2023-04-25,2023-04-25 09:32:52.858586,2023-04-25 15:56:52.858586,6.4,6,3.5,289164.0,False,Completed,,False
32,2,1,24,Preventive,Routine,,2023-08-01,2023-08-01 12:38:33.586562,2023-08-01 20:02:33.586562,7.4,6,4.8,95712.0,False,Completed,,False
33,2,1,8,Inspection,Routine,,2023-11-01,2023-11-01 11:57:22.978707,2023-11-01 13:27:22.978707,1.5,6,1.0,56040.0,False,Completed,,False
34,2,1,24,Corrective,Critical,,2024-02-09,2024-02-09 12:06:09.239331,2024-02-10 17:54:09.239331,29.8,6,22.0,25962.0,False,Completed,Overheating due to blocked cooling path,False
35,2,1,24,Preventive,Routine,,2024-05-17,2024-05-17 09:07:28.063164,2024-05-17 13:31:28.063164,4.4,6,3.0,130500.0,False,Completed,,False
36,2,1,24,Preventive,Routine,,2024-08-22,2024-08-22 13:35:38.688898,2024-08-22 19:35:38.688898,6.0,6,4.4,10254.0,False,Completed,,False
37,2,1,12,Preventive,Routine,,2024-12-01,2024-12-01 09:51:58.952140,2024-12-01 19:39:58.952140,9.8,6,4.5,94518.0,False,Completed,,False
38,2,1,16,Preventive,Routine,,2025-03-09,2025-03-09 08:59:55.757627,2025-03-09 20:41:55.757627,11.7,6,5.2,348636.0,False,Completed,,False
39,2,1,20,Preventive,Routine,,2025-06-05,2025-06-05 09:45:15.587113,2025-06-05 14:15:15.587113,4.5,6,3.3,84840.0,False,Completed,,False
40,2,1,12,Inspection,Routine,,2025-09-02,2025-09-02 09:28:35.998263,2025-09-02 11:40:35.998263,2.2,6,1.2,178056.0,False,Completed,,False
41,2,1,24,Corrective,High,,2025-12-13,2025-12-13 10:32:06.000334,2025-12-14 12:38:06.000334,26.1,6,17.9,74871.0,False,Completed,Operator-reported abnormal noise confirmed on inspection,False
42,2,1,12,Preventive,Routine,,2026-03-27,2026-03-27 08:30:37.372861,2026-03-27 16:54:37.372861,8.4,6,5.7,94506.0,False,Completed,,False
43,2,1,12,Corrective,High,,2026-07-04,2026-07-04 12:15:00.129477,2026-07-05 22:27:00.129477,34.2,6,20.7,147252.0,False,Completed,Operator-reported abnormal noise confirmed on inspection,False
44,3,1,4,Preventive,Routine,,2022-09-02,2022-09-02 13:22:53.668605,2022-09-03 00:28:53.668605,11.1,6,6.5,165330.0,True,Completed,,False
45,3,1,16,Preventive,Routine,,2022-12-06,2022-12-06 11:28:01.906076,2022-12-06 18:22:01.906076,6.9,6,4.6,7212.0,False,Completed,,False
46,3,1,4,Preventive,Routine,,2023-03-17,2023-03-17 10:46:50.171379,2023-03-17 15:28:50.171379,4.7,6,2.4,141792.0,True,Completed,,False
47,3,1,8,Corrective,Routine,,2023-06-18,2023-06-18 13:11:47.381864,2023-06-19 01:59:47.381864,12.8,6,7.7,205902.0,False,Completed,Operator-reported abnormal noise confirmed on inspection,False
48,3,1,16,Preventive,Routine,,2023-09-24,2023-09-24 13:58:03.669781,2023-09-24 20:58:03.669781,7.0,6,2.9,19902.0,False,Completed,,False
49,3,1,20,Inspection,Routine,,2024-01-07,2024-01-07 08:23:06.414023,2024-01-07 11:11:06.414023,2.8,6,1.5,7338.0,True,Completed,,False
50,3,1,8,Inspection,Routine,,2024-04-13,2024-04-13 12:01:05.984140,2024-04-13 14:13:05.984140,2.2,6,1.2,35556.0,False,Completed,,False
51,3,1,8,Corrective,High,,2024-07-17,2024-07-17 10:06:43.435895,2024-07-18 19:48:43.435895,33.7,6,24.1,30216.0,True,Completed,Wear beyond tolerance,False
52,3,1,12,Preventive,Routine,,2024-11-05,2024-11-05 10:38:51.651339,2024-11-05 19:50:51.651339,9.2,6,5.2,104448.0,False,Completed,,False
53,3,1,8,Preventive,Routine,,2025-02-18,2025-02-18 12:50:43.167370,2025-02-19 00:08:43.167370,11.3,6,8.0,9591.0,False,Completed,,False
54,3,1,12,Corrective,High,,2025-05-26,2025-05-26 10:14:18.861440,2025-05-27 16:14:18.861440,30.0,6,20.2,75285.0,False,Completed,Fatigue failure,False
55,3,1,20,Preventive,Routine,,2025-09-03,2025-09-03 11:46:08.756073,2025-09-03 16:52:08.756073,5.1,6,2.4,7500.0,False,Completed,,False
56,3,1,12,Preventive,Routine,,2025-12-06,2025-12-06 10:30:34.481258,2025-12-06 16:30:34.481258,6.0,6,2.5,133716.0,False,Completed,,False
57,3,1,12,Corrective,High,,2026-03-21,2026-03-21 10:53:40.624084,2026-03-22 02:35:40.624084,15.7,6,9.1,347172.0,False,Completed,Contamination in fluid system,False
58,3,1,8,Inspection,Routine,,2026-07-02,2026-07-02 13:33:01.723079,2026-07-02 14:51:01.723079,1.3,6,0.7,33186.0,False,Completed,,False
59,4,1,16,Preventive,Routine,,2018-08-22,2018-08-22 11:03:52.943599,2018-08-22 18:33:52.943599,7.5,6,5.1,79920.0,True,Completed,,False
60,4,1,20,Preventive,Routine,,2018-11-26,2018-11-26 13:03:36.823208,2018-11-26 21:15:36.823208,8.2,6,3.9,17232.0,False,Completed,,False
61,4,1,4,Preventive,Routine,,2019-03-19,2019-03-19 09:14:10.289301,2019-03-19 18:08:10.289301,8.9,6,5.8,15636.0,True,Completed,,False
62,4,1,16,Preventive,Routine,,2019-07-09,2019-07-09 12:19:47.768988,2019-07-09 16:43:47.768988,4.4,6,3.0,9774.0,True,Completed,,False
63,4,1,4,Preventive,Routine,,2019-10-11,2019-10-11 09:06:58.726875,2019-10-11 19:48:58.726875,10.7,6,5.7,99066.0,True,Completed,,False
64,4,1,4,Preventive,Routine,,2020-01-20,2020-01-20 11:05:37.509185,2020-01-20 16:05:37.509185,5.0,6,3.3,27270.0,True,Completed,,False
65,4,1,12,Preventive,Routine,,2020-05-12,2020-05-12 11:10:59.026931,2020-05-12 19:28:59.026931,8.3,6,3.4,7224.0,True,Completed,,False
