work_order_id,part_id,qty_used
1,19,1
1,21,2
1,8,2
1,10,1
2,10,1
2,17,2
2,8,1
3,19,1
3,13,2
3,17,2
4,2,1
4,20,1
5,13,1
5,22,1
5,14,1
6,16,2
6,8,2
7,6,2
7,10,1
8,4,1
8,21,1
8,3,1
9,12,2
9,7,2
9,22,2
10,13,2
11,3,2
11,10,1
12,7,1
13,18,2
14,21,2
14,22,2
14,6,1
15,16,2
16,1,2
17,17,2
17,9,2
18,18,1
18,22,2
19,22,2
19,6,1
19,7,1
20,11,1
21,9,2
21,8,1
21,12,1
22,21,2
23,4,2
23,19,2
23,11,2
23,13,2
24,14,1
24,2,2
25,6,2
25,9,2
25,16,1
26,10,2
26,6,2
27,15,1
27,10,1
28,8,2
29,23,1
29,18,1
29,11,1
30,12,1
31,15,2
31,20,1
32,8,1
32,1,1
33,4,1
33,5,2
33,12,1
34,6,1
34,11,1
35,4,1
35,9,1
35,6,2
36,16,1
36,23,1
36,21,1
37,13,1
37,3,2
38,1,2
38,10,2
38,18,2
39,4,2
39,2,1
39,18,1
40,13,2
41,10,1
41,7,1
42,1,1
43,10,2
43,23,2
44,1,1
44,10,1
45,12,1
46,10,2
47,11,2
47,1,2
47,22,1
48,18,2
49,5,1
50,4,1
51,7,2
51,19,1
52,21,2
52,13,1
53,5,1
53,16,1
54,4,2
54,7,1
55,20,2
56,2,2
56,9,2
56,3,1
57,20,1
57,4,2
57,13,2
57,1,1
58,6,2
59,20,1
59,4,2
59,3,2
60,6,1
61,21,2
62,20,2
62,14,1
63,17,2
64,18,2
64,21,1
65,22,1
66,14,2
66,11,1
67,22,2
67,1,1
67,13,1
68,14,2
69,11,2
69,19,1
70,17,2
70,22,1
70,14,2
71,9,1
72,11,2
73,18,2
73,5,1
73,6,1
74,15,2
74,14,1
74,16,2
75,15,2
75,21,1
75,6,1
76,18,2
76,20,2
76,14,2
77,9,2
77,18,1
78,23,1
79,5,1
79,10,1
80,7,2
80,22,1
80,17,2
81,22,1
81,10,2
82,1,2
82,5,2
82,20,2
83,13,2
83,15,1
84,21,1
84,10,2
85,12,2
85,21,2
86,13,1
86,8,1
87,16,2
88,1,2
89,23,1
89,20,2
90,22,1
90,7,2
90,17,1
91,20,1
91,13,1
91,8,2
92,22,1
92,19,1
92,17,1
93,1,2
93,17,1
93,9,1
94,10,2
94,8,1
95,19,1
96,7,2
96,18,1
96,9,1
97,2,2
98,1,1
98,12,2
98,5,2
99,16,1
100,5,2
101,18,1
101,19,2
102,8,1
103,11,1
104,21,2
104,18,1
105,15,2
105,1,1
106,9,2
106,18,1
106,19,2
106,13,2
107,18,1
107,1,2
108,18,2
109,11,1
109,17,1
109,10,1
110,23,2
110,9,1
110,11,2
111,3,1
111,2,1
112,11,1
112,22,1
112,10,1
113,1,2
113,22,2
113,10,1
113,3,1
114,21,1
114,1,2
114,20,1
115,13,2
116,14,2
116,3,2
117,20,2
117,10,1
117,17,2
117,18,2
118,12,1
118,5,1
119,11,1
119,20,2
119,12,2
120,12,1
121,16,1
121,18,1
122,5,2
123,16,2
123,18,1
124,21,1
124,17,2
125,1,2
125,12,2
125,17,2
126,9,2
126,12,1
126,15,1
127,2,1
127,3,1
128,13,2
128,23,2
128,17,1
129,11,2
130,17,1
131,22,1
132,3,1
132,12,2
133,6,1
133,23,2
134,21,1
134,13,2
134,9,2
135,12,2
135,17,1
136,20,1
136,11,2
137,16,2
137,23,1
138,8,2
138,12,2
139,6,2
140,5,1
140,23,1
141,22,1
141,6,2
142,17,1
143,21,1
144,2,2
144,1,1
144,16,2
145,16,2
146,12,2
146,20,1
147,18,1
147,19,2
147,13,2
148,13,2
149,21,1
149,19,1
149,17,2
150,6,1
150,14,2
151,21,2
151,14,2
152,20,2
152,4,1
152,12,1
152,22,1
153,11,2
153,19,1
153,13,2
154,23,2
154,17,2
155,14,1
155,1,2
156,3,2
156,5,1
157,18,2
157,6,1
158,18,1
158,7,1
158,6,2
159,11,1
159,8,1
159,13,2
159,9,1
160,16,1
160,17,2
161,22,2
161,23,2
162,10,1
162,14,1
163,1,2
163,20,1
163,10,2
164,2,2
164,15,1
164,3,1
165,21,1
165,10,1
166,23,1
167,10,2
167,7,2
167,21,1
168,16,2
168,13,2
168,2,2
169,22,1
169,3,2
169,4,2
170,14,2
170,16,2
171,2,2
171,15,1
171,21,2
172,18,1
172,1,2
173,16,1
173,5,1
173,11,2
174,22,1
174,21,2
174,19,2
174,1,2
175,14,2
175,6,1
175,20,2
175,5,2
176,15,2
176,5,2
176,6,1
177,8,1
177,3,2
178,15,1
178,7,1
179,7,2
179,3,2
180,1,1
180,8,2
181,19,2
181,5,2
181,6,2
182,21,1
182,10,2
182,14,1
183,4,1
183,10,1
183,9,2
184,12,2
184,4,1
184,2,2
185,17,1
185,5,2
185,20,2
186,3,2
186,9,2
187,13,1
187,7,2
187,11,2
188,2,2
188,4,1
189,2,2
189,22,1
190,12,1
190,20,1
190,9,1
190,11,2
191,5,1
191,14,2
192,15,1
192,22,2
192,11,1
193,15,2
194,22,2
194,13,1
195,20,2
196,4,2
197,8,2
197,12,2
198,1,1
198,19,1
199,22,2
199,10,1
199,1,2
200,12,1
201,6,2
201,21,1
201,23,2
202,1,1
203,19,2
204,6,1
204,1,1
204,22,1
205,22,1
205,7,2
206,1,1
206,6,1
207,8,2
207,4,2
208,12,2
209,11,2
210,3,1
210,18,1
210,19,2
210,7,1
211,4,2
211,12,2
212,22,2
212,6,2
213,6,2
214,5,1
214,21,1
214,15,1
215,2,2
216,18,1
217,2,2
217,7,1
217,6,2
217,13,2
218,15,1
218,6,2
218,16,2
219,2,1
219,21,2
220,11,1
220,2,2
220,17,1
221,1,2
221,22,1
222,12,2
223,1,1
223,8,2
223,12,1
224,15,2
225,4,2
226,2,2
226,12,1
226,4,2
226,13,2
227,17,2
227,1,2
227,11,1
228,5,1
229,20,1
230,1,2
231,18,1
231,6,1
231,20,1
231,11,1
232,3,2
232,7,1
232,21,2
233,17,1
234,8,2
234,13,1
235,15,2
235,5,2
235,18,1
236,8,2
237,10,1
237,4,2
238,12,2
238,14,1
238,9,2
239,13,1
239,12,2
240,15,1
241,21,2
241,5,1
242,12,2
243,23,2
243,1,1
243,17,2
244,6,2
244,10,1
245,7,1
246,19,2
247,23,2
247,1,1
247,15,1
248,18,1
248,8,1
249,5,1
249,20,1
249,6,1
249,11,1
250,11,2
250,17,2
250,13,1
251,10,2
251,23,1
251,21,2
252,9,1
252,2,1
252,7,2
253,18,1
254,9,2
255,4,1
256,11,1
256,18,1
256,23,1
257,15,2
257,22,1
258,4,2
258,17,2
258,10,2
258,7,1
259,12,1
259,18,1
260,8,1
260,13,1
261,2,1
261,12,1
261,10,2
262,1,2
262,3,2
262,15,1
263,19,1
263,14,1
263,22,1
263,5,2
264,15,2
264,14,2
264,4,1
264,7,1
265,1,1
265,13,1
266,21,2
266,5,2
266,12,1
267,13,2
268,18,1
268,2,1
269,12,2
269,17,1
270,23,2
271,8,2
272,18,1
272,7,2
273,18,1
273,19,1
273,21,2
274,9,1
274,5,2
274,12,2
275,11,1
275,14,2
275,18,1
276,13,1
276,10,1
276,14,1
277,16,1
277,23,2
277,9,1
277,12,1
278,15,2
279,6,1
279,9,2
279,1,1
280,2,1
281,6,1
281,18,2
282,11,1
282,9,1
282,15,2
283,11,2
284,23,2
284,5,1
284,14,2
285,13,2
286,18,1
286,6,2
286,22,2
287,9,1
288,7,2
288,15,2
289,22,1
289,14,2
289,18,2
290,7,1
290,2,2
290,6,2
291,15,2
292,12,1
292,4,2
293,7,1
294,21,2
294,18,2
294,7,2
294,8,2
295,5,2
296,22,2
297,5,1
297,23,2
297,14,2
298,8,1
298,22,2
298,10,1
298,18,2
299,23,2
299,22,1
299,21,1
300,14,2
300,23,2
301,3,1
301,7,1
301,15,1
302,3,2
302,13,1
302,20,1
302,5,1
303,19,2
303,4,2
304,4,1
305,20,1
305,12,2
305,11,1
305,19,1
306,23,2
307,8,2
307,20,2
308,7,2
308,15,1
308,22,2
309,5,2
309,12,1
310,14,2
311,8,2
312,10,1
312,22,2
312,19,2
313,8,1
313,4,2
313,19,1
314,17,2
314,23,2
314,21,2
315,14,2
316,7,2
316,20,2
317,22,2
317,16,2
317,13,2
318,19,1
319,4,2
319,21,1
319,2,1
319,15,1
320,5,1
320,2,2
320,15,1
321,19,1
321,1,2
321,5,1
322,2,2
323,9,2
323,22,1
323,2,2
324,13,1
325,2,1
325,14,2
325,17,1
326,20,2
327,4,1
328,22,2
329,21,2
329,11,2
330,15,2
330,8,1
331,2,1
331,18,1
331,19,2
332,21,1
332,13,1
332,10,2
333,8,2
333,5,1
333,11,2
334,21,2
334,22,1
335,9,2
335,3,1
336,8,2
336,23,1
337,13,1
337,18,2
338,16,2
339,3,1
339,4,1
340,7,1
340,1,2
341,5,1
342,11,1
342,13,2
342,5,1
343,7,1
343,15,2
343,4,1
344,11,1
344,2,2
345,15,2
345,16,1
346,19,1
346,22,2
346,17,2
347,23,2
347,14,1
348,14,2
348,16,2
349,17,2
349,14,2
349,22,2
350,8,1
350,13,1
350,23,2
351,19,1
352,5,1
352,1,1
352,22,1
353,23,1
353,11,1
354,12,1
354,22,2
355,19,2
355,9,1
355,17,1
356,22,2
356,19,1
357,13,2
358,1,1
359,3,1
359,13,2
359,17,1
360,4,1
361,22,1
362,18,2
362,3,1
