signal_id,equipment_id,scoring_date,predicted_component_id,failure_probability,model_version,recommended_action_window_days,contributing_fault_codes,signal_status,dismiss_reason,created_at
1,2,2026-07-08,7,0.0266411145274452,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
2,3,2026-07-08,10,0.0248879273098632,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
3,4,2026-07-08,4,0.0250480925856547,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
4,4,2026-07-08,8,0.0239834973265035,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
5,4,2026-07-08,9,0.0239834973265035,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
6,5,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
7,5,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
8,6,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
9,6,2026-07-08,10,0.0244166985284649,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
10,7,2026-07-08,4,0.024573713043003,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
11,7,2026-07-08,12,0.024573713043003,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
12,9,2026-07-08,7,0.027116884768115,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
13,9,2026-07-08,11,0.027116884768115,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
14,10,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
15,12,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
16,12,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
17,13,2026-07-08,12,0.0244166985284649,gbt-v1,8,,New,,2026-07-09T07:52:46.189851+00:00
18,15,2026-07-08,3,0.0244166985284649,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
19,15,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
20,15,2026-07-08,10,0.0238895103019818,gbt-v1,20,,New,,2026-07-09T07:52:46.189851+00:00
21,16,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
22,17,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
23,18,2026-07-08,9,0.0244166985284649,gbt-v1,24,,New,,2026-07-09T07:52:46.189851+00:00
24,19,2026-07-08,1,0.0265212013973837,gbt-v1,14,,New,,2026-07-09T07:52:46.189851+00:00
25,19,2026-07-08,3,0.0265212013973837,gbt-v1,19,,New,,2026-07-09T07:52:46.189851+00:00
26,19,2026-07-08,7,0.0265212013973837,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
27,20,2026-07-08,2,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
28,22,2026-07-08,8,0.0588902875712356,gbt-v1,27,,New,,2026-07-09T07:52:46.189851+00:00
29,24,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
30,24,2026-07-08,11,0.0244166985284649,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
31,25,2026-07-08,6,0.0244166985284649,gbt-v1,15,,New,,2026-07-09T07:52:46.189851+00:00
32,26,2026-07-08,7,0.0239834973265035,gbt-v1,32,,New,,2026-07-09T07:52:46.189851+00:00
33,26,2026-07-08,11,0.0239834973265035,gbt-v1,11,,New,,2026-07-09T07:52:46.189851+00:00
34,28,2026-07-08,4,0.0244166985284649,gbt-v1,10,,New,,2026-07-09T07:52:46.189851+00:00
35,28,2026-07-08,5,0.0244166985284649,gbt-v1,7,,New,,2026-07-09T07:52:46.189851+00:00
